Bin Capacity,Total Items,Bins Required,Execution Time
10,10,8,9888100
10,100,43,309000
10,1000,475,3755300
10,10000,4515,15317300
20,10,7,57600
20,100,53,94800
20,1000,496,408400
20,10000,4693,11793600
30,10,7,41900
30,100,49,58200
30,1000,485,434800
30,10000,4848,10977700
40,10,5,45000
40,100,53,40300
40,1000,498,325800
40,10000,4906,11652100
50,10,7,47700
50,100,60,44600
50,1000,507,914500
50,10000,4944,13677700
60,10,5,43300
60,100,58,63000
60,1000,505,326900
60,10000,5021,11428600
70,10,5,78700
70,100,55,53200
70,1000,515,319400
70,10000,4987,10751100
80,10,7,31200
80,100,58,51000
80,1000,498,296400
80,10000,4965,10375900
90,10,7,40900
90,100,56,37300
90,1000,472,246200
90,10000,5004,10632400
100,10,5,36400
100,100,54,34900
100,1000,490,239800
100,10000,5014,11174600
