Bin Capacity,Total Items,Bins Required,Execution Time
10,10,9,1800
10,100,53,3000
10,1000,600,26000
10,10000,5814,262800
20,10,7,700
20,100,65,3000
20,1000,636,26400
20,10000,6181,279200
30,10,10,700
30,100,65,3000
30,1000,632,27500
30,10000,6374,251400
40,10,7,600
40,100,69,2900
40,1000,651,25900
40,10000,6462,263500
50,10,8,700
50,100,73,3000
50,1000,662,27300
50,10000,6505,264200
60,10,6,700
60,100,76,3000
60,1000,659,26400
60,10000,6561,305900
70,10,6,800
70,100,68,2900
70,1000,673,39900
70,10000,6574,60100
80,10,7,100
80,100,71,700
80,1000,648,7500
80,10000,6554,63900
90,10,8,200
90,100,67,700
90,1000,616,6000
90,10000,6571,60600
100,10,6,100
100,100,68,600
100,1000,652,5800
100,10000,6669,110900
